country,season,band,predictor,cv_corr_dt,p_perm_dt,q_bh_dt
Nigeria,JJAS,North,wvg2,-0.359,0.5225,0.7837
Nigeria,JJAS,North,wvg3,-0.532,0.6545,0.8345
Nigeria,ASO,North,nino34,0.017,0.1598,0.4695
Nigeria,ASO,North,atl3,-0.445,0.5983,0.8052
Nigeria,ASO,North,tna,-0.077,0.2478,0.5751
Nigeria,ASO,North,tsa,-0.418,0.5717,0.8016
Nigeria,ASO,North,atl_grad,-0.014,0.1822,0.4853
Nigeria,ASO,North,iod_dmi,-0.311,0.4621,0.7429
Nigeria,ASO,North,wvg2,0.032,0.1466,0.4695
Nigeria,ASO,North,wvg3,-0.019,0.1854,0.4853
Ethiopia,MAM,National,nino34,-0.132,0.2999,0.6116
Ethiopia,MAM,National,atl3,-0.739,0.8746,0.9632
Ethiopia,MAM,National,tna,-0.856,0.949,0.9821
Ethiopia,MAM,National,tsa,-0.441,0.6051,0.8299
Ethiopia,MAM,National,atl_grad,-0.561,0.6965,0.8833
Ethiopia,MAM,National,iod_dmi,0.009,0.174,0.5424
Ethiopia,MAM,National,wvg2,-0.011,0.185,0.5424
Ethiopia,MAM,National,wvg3,-0.012,0.1822,0.5424
Ethiopia,AMJ,National,nino34,-0.02,0.1868,0.5424
Ethiopia,AMJ,National,atl3,-0.392,0.5589,0.7962
Ethiopia,AMJ,National,tna,-0.82,0.908,0.9659
Ethiopia,AMJ,National,tsa,-0.783,0.9304,0.9707
Ethiopia,AMJ,National,atl_grad,-0.719,0.8282,0.9363
Ethiopia,AMJ,National,iod_dmi,-0.207,0.3765,0.6836
Ethiopia,AMJ,National,wvg2,0.115,0.0834,0.4024
Ethiopia,AMJ,National,wvg3,0.119,0.0886,0.4024
Ethiopia,JJA,National,nino34,-0.126,0.2843,0.6116
Ethiopia,JJA,National,atl3,-0.204,0.3779,0.6836
Ethiopia,JJA,National,tna,-0.251,0.4397,0.7397
Ethiopia,JJA,National,tsa,-0.035,0.2016,0.5558
Ethiopia,JJA,National,atl_grad,-0.858,0.98,0.991
Ethiopia,JJA,National,iod_dmi,-0.326,0.4865,0.7496
Ethiopia,JJA,National,wvg2,-0.031,0.2058,0.5558
Ethiopia,JJA,National,wvg3,-0.058,0.2174,0.5643
Ethiopia,JAS,National,nino34,0.295,0.0154,0.1456
Ethiopia,JAS,National,atl3,-0.129,0.2841,0.6116
Ethiopia,JAS,National,tna,-0.116,0.2881,0.6116
Ethiopia,JAS,National,tsa,-0.066,0.2501,0.5913
Ethiopia,JAS,National,atl_grad,-0.686,0.8118,0.9257
Ethiopia,JAS,National,iod_dmi,-0.35,0.5117,0.7713
Ethiopia,JAS,National,wvg2,0.329,0.0104,0.1272
Ethiopia,JAS,National,wvg3,0.329,0.0132,0.1445
Ethiopia,JJAS,National,nino34,-0.211,0.3671,0.6806
Ethiopia,JJAS,National,atl3,-0.244,0.4083,0.7078
Ethiopia,JJAS,National,tna,-0.17,0.3455,0.6693
Ethiopia,JJAS,National,tsa,-0.082,0.2442,0.5913
Ethiopia,JJAS,National,atl_grad,-0.781,0.904,0.9659
Ethiopia,JJAS,National,iod_dmi,-0.254,0.4219,0.7253
Ethiopia,JJAS,National,wvg2,-0.096,0.2629,0.6077
Ethiopia,JJAS,National,wvg3,-0.129,0.2923,0.6116
Ethiopia,ASO,National,nino34,-0.375,0.5437,0.7962
Ethiopia,ASO,National,atl3,-0.128,0.2997,0.6116
Ethiopia,ASO,National,tna,-0.673,0.8144,0.9257
Ethiopia,ASO,National,tsa,-0.123,0.2975,0.6116
Ethiopia,ASO,National,atl_grad,-0.283,0.4623,0.7397
