target,predictor_source,method,lead,transform,predictor_domain,eof_modes,downscale,generalized_roc,rpss,pearson_r,hit_rate
Kenya:MAM,gcm_index,regression,1,std_anom,iwhg,0,none,0.4646,-0.0631,-0.112,0.2814
Kenya:MAM,persistence,regression,1,std_anom,region,0,none,0.4284,-0.0875,-0.2284,0.2506
Kenya:MAM,obs_sst_field,cca,1,raw,indo_pacific,4,none,0.4471,-0.1118,-0.1602,0.2803
Kenya:MAM,gcm_mos_sst,cca,1,raw,indo_pacific,4,none,0.5066,-0.0733,-0.0787,0.3342
Kenya:MAM,obs_sst_field,cca,1,raw,indo_pacific,8,none,0.4868,-0.0857,-0.004,0.313
Kenya:MAM,gcm_mos_sst,cca,1,raw,indo_pacific,8,none,0.4924,-0.1001,-0.0895,0.3236
Kenya:MAM,obs_sst_field,cca,1,raw,indian,4,none,0.4433,-0.1644,-0.1582,0.2643
Kenya:MAM,gcm_mos_sst,cca,1,raw,indian,4,none,0.4896,-0.0947,-0.0403,0.3152
Kenya:MAM,obs_sst_field,cca,1,raw,indian,8,none,0.5003,-0.0929,0.0187,0.3245
Kenya:MAM,gcm_mos_sst,cca,1,raw,indian,8,none,0.5124,-0.0842,0.0399,0.338
Kenya:MAM,obs_sst_field,cca,1,raw,pacific,4,none,0.4789,-0.1117,-0.071,0.2998
Kenya:MAM,gcm_mos_sst,cca,1,raw,pacific,4,none,0.4803,-0.0972,-0.1179,0.3064
Kenya:MAM,obs_sst_field,cca,1,raw,pacific,8,none,0.4794,-0.1269,-0.0606,0.2996
Kenya:MAM,gcm_mos_sst,cca,1,raw,pacific,8,none,0.48,-0.11,-0.1077,0.3039
Kenya:MAM,gcm_mos_precip,cca,1,raw,region,4,none,0.4871,-0.0673,-0.0235,0.3082
Kenya:MAM,gcm_mos_precip,cca,1,raw,region,8,none,0.4874,-0.0629,-0.0235,0.3068
Kenya:MAM,gcm_mos_precip,qm,1,raw,region,0,none,0.5944,-0.0072,0.2675,0.3465
Kenya:MAM,obs_index,regression,1,raw,nino34,0,none,0.5039,-0.0373,0.0605,0.3288
Kenya:MAM,gcm_index,regression,1,raw,nino34,0,none,0.5043,-0.0295,0.0405,0.3185
Kenya:MAM,obs_index,regression,1,raw,iod,0,none,0.3945,-0.1125,-0.3936,0.2098
Kenya:MAM,gcm_index,regression,1,raw,iod,0,none,0.4288,-0.0784,-0.2568,0.2554
Kenya:MAM,obs_index,regression,1,raw,wpg,0,none,0.4745,-0.0764,-0.1163,0.3101
Kenya:MAM,gcm_index,regression,1,raw,wpg,0,none,0.5051,-0.0454,-0.0301,0.3299
Kenya:MAM,obs_index,regression,1,raw,wvg,0,none,0.4619,-0.0811,-0.1485,0.2998
Kenya:MAM,gcm_index,regression,1,raw,wvg,0,none,0.5174,-0.0335,0.0212,0.342
Kenya:MAM,obs_index,regression,1,raw,iwhg,0,none,0.46,-0.0743,-0.1161,0.2874
Kenya:MAM,gcm_index,regression,1,raw,iwhg,0,none,0.4646,-0.0631,-0.1349,0.2814
Kenya:MAM,persistence,regression,1,raw,region,0,none,0.4284,-0.0875,-0.2007,0.2506
Kenya:MAM,obs_sst_field,cca,2,std_anom,indo_pacific,4,none,0.4918,-0.0718,-0.0743,0.305
Kenya:MAM,gcm_mos_sst,cca,2,std_anom,indo_pacific,4,none,0.4974,-0.0718,-0.0326,0.3342
Kenya:MAM,obs_sst_field,cca,2,std_anom,indo_pacific,8,none,0.4685,-0.1157,-0.1103,0.2779
Kenya:MAM,gcm_mos_sst,cca,2,std_anom,indo_pacific,8,none,0.4841,-0.1024,-0.097,0.3133
Kenya:MAM,obs_sst_field,cca,2,std_anom,indian,4,none,0.4958,-0.0957,-0.0088,0.3366
Kenya:MAM,gcm_mos_sst,cca,2,std_anom,indian,4,none,0.455,-0.1187,-0.1375,0.2825
Kenya:MAM,obs_sst_field,cca,2,std_anom,indian,8,none,0.4884,-0.1172,-0.0149,0.3337
Kenya:MAM,gcm_mos_sst,cca,2,std_anom,indian,8,none,0.4555,-0.1261,-0.1266,0.2734
Kenya:MAM,obs_sst_field,cca,2,std_anom,pacific,4,none,0.4842,-0.0822,-0.1045,0.2985
